"code","description","bing","deepl","deepl_only_translation"
"af","Afrikaans","af",,
"am","Amharic","am",,
"ar","Arabic","ar",,
"as","Assamese","as",,
"az","Azerbaijani","az",,
"bg","Bulgarian","bg","BG",
"bn","Bangla","bn",,
"bs","Bosnian (Latin)","bs",,
"ca","Catalan","ca",,
"cs","Czech","cs","CS",
"cy","Welsh","cy",,
"da","Danish","da","DA",
"de","German","de","DE",
"el","Greek","el","EL",
"en","English","en","EN",
"en-gb","English(British)",,"EN-GB",1
"en-us","English(American)",,"EN-US",1
"es","Spanish","es","ES",
"et","Estonian","et","ET",
"fa","Persian","fa",,
"fi","Finnish","fi","FI",
"fil","Filipino","fil",,
"fj","Fijian","fj",,
"fr","French","fr","FR",
"fr-ca","French (Canada)","fr-ca",,
"ga","Irish","ga",,
"gu","Gujarati","gu",,
"he","Hebrew","he",,
"hi","Hindi","hi",,
"hr","Croatian","hr",,
"ht","Haitian Creole","ht",,
"hu","Hungarian","hu","HU",
"hy","Armenian","hy",,
"id","Indonesian","id",,
"is","Icelandic","is",,
"it","Italian","it","IT",
"iu","Inuktitut","iu",,
"ja","Japanese","ja","JA",
"kk","Kazakh","kk",,
"km","Khmer","km",,
"kmr","Kurdish (Northern)","kmr",,
"kn","Kannada","kn",,
"ko","Korean","ko",,
"ku","Kurdish (Central)","ku",,
"lo","Lao","lo",,
"lt","Lithuanian","lt","LT",
"lv","Latvian","lv","LV",
"mg","Malagasy","mg",,
"mi","Maori","mi",,
"ml","Malayalam","ml",,
"mr","Marathi","mr",,
"ms","Malay","ms",,
"mt","Maltese","mt",,
"mww","Hmong Daw","mww",,
"my","Myanmar","my",,
"nb","Norwegian","nb",,
"ne","Nepali","ne",,
"nl","Dutch","nl","NL",
"or","Odia","or",,
"otq","Queretaro Otomi","otq",,
"pa","Punjabi","pa",,
"pl","Polish","pl","PL",
"prs","Dari","prs",,
"ps","Pashto","ps",,
"pt","Portuguese","pt","PT",
"pt-pt","Portuguese (Portugal)","pt-pt","PT-PT",1
"pt-br","Portuguese (Brazil)","pt","PT-BR",1
"ro","Romanian","ro","RO",
"ru","Russian","ru","RU",
"sk","Slovak","sk","SK",
"sl","Slovenian","sl","SL",
"sm","Samoan","sm",,
"sq","Albanian","sq",,
"sr-Cyrl","Serbian (Cyrillic)","sr-Cyrl",,
"sr-Latn","Serbian (Latin)","sr-Latn",,
"sv","Swedish","sv","SV",
"sw","Swahili","sw",,
"ta","Tamil","ta",,
"te","Telugu","te",,
"th","Thai","th",,
"ti","Tigrinya","ti",,
"tlh-Latn","Klingon","tlh-Latn",,
"tlh-Piqd","Klingon (plqaD)","tlh-Piqd",,
"to","Tongan","to",,
"tr","Turkish","tr",,
"ty","Tahitian","ty",,
"uk","Ukrainian","uk",,
"ur","Urdu","ur",,
"vi","Vietnamese","vi",,
"yua","Yucatec Maya","yua",,
"yue","Cantonese (Traditional)","yue",,
"zh","Chinese Simplified","zh-Hans","ZH",
"zh-Hant","Chinese Traditional","zh-Hant",,
